4.62, 2, white, Exit
4.62, 4, white, Entry
4.62, 4, white, Exit
4.62, 1, white, Entry
4.62, 1, white, Exit
4.62, 2, white, Entry
4.62, 2, white, Exit
4.62, 1, white, Entry
4.62, 1, white, Exit
4.62, 2, white, Entry
4.66, 2, white, Exit
4.66, 4, white, Entry
4.66, 4, white, Exit
4.66, 3, white, Entry
4.66, 3, white, Exit
4.66, 4, white, Entry
4.66, 4, white, Exit
4.66, 1, white, Entry
4.66, 1, white, Exit
4.66, 2, white, Entry
4.66, 2, white, Exit
4.66, 1, white, Entry
4.66, 1, white, Exit
4.66, 2, white, Entry
4.71, 2, white, Exit
4.71, 4, white, Entry
4.71, 4, white, Exit
4.71, 1, white, Entry
4.71, 1, white, Exit
4.71, 2, white, Entry
4.71, 2, white, Exit
4.71, 1, white, Entry
4.71, 1, white, Exit
4.71, 2, white, Entry
4.76, 2, white, Exit
4.76, 4, white, Entry
4.76, 4, white, Exit
4.76, 2, white, Entry
4.76, 2, white, Exit
4.76, 1, white, Entry
4.76, 1, white, Exit
4.76, 2, white, Entry
4.79, 2, white, Exit
4.79, 4, white, Entry
4.79, 4, white, Exit
4.79, 3, white, Entry
4.79, 3, white, Exit
4.79, 4, white, Entry
4.79, 4, white, Exit
4.79, 1, white, Entry
4.79, 1, white, Exit
4.79, 2, white, Entry
4.79, 2, white, Exit
4.79, 1, white, Entry
4.79, 1, white, Exit
4.79, 2, white, Entry
4.84, 2, white, Exit
4.84, 4, white, Entry
4.84, 4, white, Exit
4.84, 3, white, Entry
4.84, 3, white, Exit
4.84, 4, white, Entry
4.84, 4, white, Exit
4.84, 1, white, Entry
4.84, 1, white, Exit
4.84, 2, white, Entry
4.84, 2, white, Exit
4.84, 1, white, Entry
4.84, 1, white, Exit
4.84, 2, white, Entry
4.88, 2, white, Exit
4.88, 4, white, Entry
4.88, 4, white, Exit
4.88, 3, white, Entry
4.88, 3, white, Exit
4.88, 4, white, Entry
4.88, 4, white, Exit
4.88, 1, white, Entry
4.89, 1, white, Exit
4.89, 2, white, Entry
4.89, 2, white, Exit
4.89, 1, white, Entry
4.89, 1, white, Exit
4.89, 2, white, Entry
4.92, 2, white, Exit
4.92, 4, white, Entry
4.92, 4, white, Exit
4.92, 1, white, Entry
4.92, 1, white, Exit
4.92, 2, white, Entry
4.92, 2, white, Exit
4.92, 1, white, Entry
4.93, 1, white, Exit
4.93, 2, white, Entry
4.96, 2, white, Exit
4.96, 4, white, Entry
4.96, 4, white, Exit
4.96, 3, white, Entry
4.96, 3, white, Exit
4.96, 4, white, Entry
4.96, 4, white, Exit
4.96, 1, white, Entry
4.96, 1, white, Exit
4.96, 2, white, Entry
4.96, 2, white, Exit
4.96, 1, white, Entry
4.96, 1, white, Exit
4.96, 2, white, Entry
5.01, 2, white, Exit
5.01, 4, white, Entry
5.01, 4, white, Exit
5.01, 3, white, Entry
5.01, 3, white, Exit
5.01, 4, white, Entry
5.01, 4, white, Exit
5.01, 1, white, Entry
5.01, 1, white, Exit
5.01, 2, white, Entry
5.01, 2, white, Exit
5.01, 1, white, Entry
5.01, 1, white, Exit
5.01, 2, white, Entry
5.06, 2, white, Exit
5.06, 3, white, Entry
5.06, 3, white, Exit
5.06, 4, white, Entry
5.06, 4, white, Exit
5.06, 3, white, Entry
5.06, 3, white, Exit
5.06, 4, white, Entry
5.06, 4, white, Exit
5.06, 3, white, Entry
5.06, 3, white, Exit
5.06, 4, white, Entry
5.06, 4, white, Exit
5.06, 3, white, Entry
5.06, 3, white, Exit
5.06, 2, white, Entry
5.06, 2, white, Exit
5.06, 1, white, Entry
5.10, 1, white, Exit
5.10, 4, white, Entry
5.10, 4, white, Exit
5.10, 3, white, Entry
5.10, 3, white, Exit
5.10, 4, white, Entry
5.10, 4, white, Exit
5.10, 3, white, Entry
5.10, 3, white, Exit
5.10, 4, white, Entry
5.10, 4, white, Exit
5.10, 3, white, Entry
5.10, 3, white, Exit
5.10, 2, white, Entry
5.10, 2, white, Exit
5.10, 1, white, Entry
5.15, 1, white, Exit
5.15, 4, white, Entry
5.15, 4, white, Exit
5.15, 3, white, Entry
5.15, 3, white, Exit
5.15, 4, white, Entry
5.15, 4, white, Exit
5.15, 3, white, Entry
5.15, 3, white, Exit
5.15, 4, white, Entry
5.15, 4, white, Exit
5.15, 3, white, Entry
5.15, 3, white, Exit
5.15, 2, white, Entry
5.15, 2, white, Exit
5.15, 1, white, Entry
5.20, 1, white, Exit
5.20, 3, white, Entry
5.20, 3, white, Exit
5.20, 4, white, Entry
5.20, 4, white, Exit
5.20, 3, white, Entry
5.20, 3, white, Exit
5.20, 4, white, Entry
5.20, 4, white, Exit
5.20, 3, white, Entry
5.20, 3, white, Exit
5.20, 4, white, Entry
5.20, 4, white, Exit
5.20, 3, white, Entry
5.20, 3, white, Exit
5.20, 2, white, Entry
5.20, 2, white, Exit
5.20, 1, white, Entry
5.25, 1, white, Exit
5.25, 3, white, Entry
5.25, 3, white, Exit
5.25, 4, white, Entry
5.25, 4, white, Exit
5.25, 3, white, Entry
5.25, 3, white, Exit
5.25, 2, white, Entry
5.25, 2, white, Exit
5.25, 1, white, Entry
5.29, 1, white, Exit
5.29, 3, white, Entry
5.29, 3, white, Exit
5.29, 4, white, Entry
5.29, 4, white, Exit
5.29, 3, white, Entry
5.29, 3, white, Exit
5.29, 4, white, Entry
5.29, 4, white, Exit
5.29, 3, white, Entry
5.29, 3, white, Exit
5.29, 1, white, Entry
5.29, 1, white, Exit
5.29, 2, white, Entry
5.29, 2, white, Exit
5.29, 1, white, Entry
5.29, 1, white, Exit
5.29, 3, white, Entry
5.29, 3, white, Exit
5.29, 1, white, Entry
5.36, 1, white, Exit
5.36, 3, white, Entry
5.36, 3, white, Exit
5.36, 4, white, Entry
5.36, 4, white, Exit
5.36, 3, white, Entry
5.36, 3, white, Exit
5.36, 4, white, Entry
5.36, 4, white, Exit
5.36, 3, white, Entry
5.36, 3, white, Exit
5.36, 2, white, Entry
5.36, 2, white, Exit
5.36, 1, white, Entry
5.36, 1, white, Exit
5.36, 3, white, Entry
5.36, 3, white, Exit
5.36, 1, white, Entry
5.39, 1, white, Exit
5.39, 3, white, Entry
5.39, 3, white, Exit
5.39, 4, white, Entry
5.39, 4, white, Exit
5.39, 3, white, Entry
5.39, 3, white, Exit
5.39, 4, white, Entry
5.39, 4, white, Exit
5.39, 3, white, Entry
5.39, 3, white, Exit
5.39, 2, white, Entry
5.40, 2, white, Exit
5.40, 1, white, Entry
5.40, 1, white, Exit
5.40, 3, white, Entry
5.40, 3, white, Exit
5.40, 1, white, Entry
5.45, 1, white, Exit
5.45, 3, white, Entry
5.45, 3, white, Exit
5.45, 4, white, Entry
5.45, 4, white, Exit
5.45, 3, white, Entry
5.45, 3, white, Exit
5.45, 4, white, Entry
5.45, 4, white, Exit
5.45, 3, white, Entry
5.45, 3, white, Exit
5.45, 1, white, Entry
5.45, 1, white, Exit
5.45, 2, white, Entry
5.45, 2, white, Exit
5.45, 1, white, Entry
5.45, 1, white, Exit
5.45, 3, white, Entry
5.50, 3, white, Exit
5.50, 4, white, Entry
